Area,Location,Property Type,Number of structures,Swimming Pool,Boundary,Age Category,Land Rate,Market Value,Number of rooms,Proximity to schools(km),Proximity to healthcare(km),Proximity to malls(km),Proximity to highway(km)
661.75,medium density,single_storey,1,Yes,walled,relatively new,57.14285714,183967.2857,4,0.587365209,0.135343915,3.035962032,0.226184394
613.8,medium density,double_storey,1,No,walled,new,64.28571429,152864.9286,4,0.594893366,0.206840668,2.976792231,0.492294057
994.78,medium density,single_storey,2,No,walled,relatively new,64.28571429,166248.4571,6,0.616650602,0.182375784,3.029635823,0.273395387
955.93,medium density,single_storey,1,Yes,walled,relatively new,64.28571429,163423.7286,6,0.626801734,0.226607453,2.997166474,0.505469896
404.4,medium density,double_storey,1,Yes,walled,established,35.71428571,110803.8071,4,0.605726816,0.243463083,2.953353484,0.461341727
994.82,medium density,single_storey,1,No,walled,new,64.28571429,158389.8571,5,0.649805824,0.229811999,3.02632253,0.532553837
1007.99,medium density,single_storey,1,No,fenced,relatively new,64.28571429,155935.3,3,0.611213274,0.110582554,3.116778513,0.163505465
1022.5,medium density,double_storey,2,No,walled,relatively new,64.28571429,156035.6571,5,0.673558187,0.173613015,3.196798032,0.426004109
955.87,medium density,single_storey,2,Yes,walled,established,64.28571429,143841.8214,3,1.911884355,1.038555896,4.308598452,0.23162851
404.47,medium density,single_storey,1,No,walled,new,35.71428571,108005.2214,5,1.931425831,1.019003844,4.345716619,0.274876923
993.62,medium density,single_storey,1,No,walled,new,64.28571429,145376.2214,4,0.468422129,1.098244154,4.804723389,0.081876327
1022.42,medium density,single_storey,1,Yes,walled,new,64.28571429,146721.0929,4,0.534890153,1.071394204,4.819832246,0.035645037
653.74,medium density,single_storey,1,No,walled,new,57.14285714,117854.0857,3,0.541121067,1.00525082,4.745294416,0.149492102
614.12,medium density,single_storey,1,No,walled,new,64.28571429,119904.6857,3,0.506470957,1.060040541,4.786983706,0.18035984
595.45,medium density,single_storey,1,No,walled,old,64.28571429,117081.2714,5,0.525208757,1.030062643,4.764297361,0.161683602
954.79,medium density,single_storey,2,No,walled,established,64.28571429,135918.5071,4,0.482891382,1.065632928,4.776146368,0.203440933
1016.78,medium density,single_storey,1,Yes,walled,established,64.28571429,139105.7071,3,0.484105524,1.038627749,4.742493641,0.205789895
954.67,medium density,single_storey,2,No,walled,relatively new,64.28571429,133885.4286,3,0.444962863,1.084215303,4.769450229,0.329498972
681.09,medium density,single_storey,1,No,walled,new,64.28571429,114433.5,6,0.37988045,1.078503554,4.697956257,0.150031255
955.81,medium density,single_storey,1,Yes,walled,established,64.28571429,129576,5,0.36373356,1.071718009,4.690537342,0.147253534
1005.94,medium density,single_storey,1,No,walled,relatively new,64.28571429,132056.1143,3,0.392187155,1.056813325,4.675095881,0.17335342
628,medium density,single_storey,1,No,walled,relatively new,64.28571429,107376.2,4,0.377250526,1.063762822,4.667399559,0.171607639
664.98,medium density,single_storey,1,Yes,walled,established,64.28571429,108440.1929,4,0.351131874,1.075480926,4.717979706,0.119391267
611.38,medium density,single_storey,1,No,walled,new,64.28571429,102596.7143,3,0.3629722,1.096942312,4.738404484,0.110902181
1116.88,medium density,single_storey,2,No,walled,new,64.28571429,134831.1571,6,0.389321763,1.093233027,4.731623284,0.133901579
1042.58,medium density,single_storey,1,No,walled,new,64.28571429,129081.4357,3,0.406893334,1.086429339,4.738938738,0.143602533
637.65,medium density,single_storey,1,No,walled,established,64.28571429,102589.6143,5,0.306451962,0.994103862,4.657323125,0.165255177
611.4,medium density,single_storey,1,No,walled,established,64.28571429,100654.7643,2,0.632622725,0.83548959,4.582701022,0.118121955
594.89,medium density,single_storey,1,No,walled,established,64.28571429,99423.21429,5,0.622360653,0.842643449,4.582853235,0.121299757
602.09,medium density,single_storey,2,No,walled,established,28.57142857,77577.50714,4,0.610070829,0.849190528,4.579186499,0.123114419
661.2,medium density,single_storey,1,No,walled,established,57.14285714,97729.4,6,0.594438652,0.856424342,4.571741756,0.125902568
681.2,medium density,single_storey,1,No,walled,established,64.28571429,103543.5286,4,0.641974054,0.817846498,4.562742587,0.097754734
408.24,medium density,single_storey,1,No,walled,relatively new,35.71428571,72757.39286,4,0.62781091,0.822765711,4.552908257,0.094861356
423.75,medium density,single_storey,1,Yes,walled,relatively new,57.14285714,81726.5,3,0.613787059,0.828040426,4.542558483,0.096095102
603.55,medium density,single_storey,1,Yes,walled,relatively new,64.28571429,95348.82143,6,0.652307526,0.779596461,4.498340718,0.047284397
413.24,medium density,single_storey,3,No,walled,relatively new,35.71428571,71001.77143,5,0.627727111,0.809142589,4.523827429,0.07672865
664.98,medium density,single_storey,1,Yes,walled,relatively new,64.28571429,98954.37143,3,0.496811351,0.936170762,4.586477055,0.048687969
616.66,medium density,single_storey,1,Yes,walled,relatively new,64.28571429,95832.60714,5,0.460134863,0.957515866,4.564579285,0.017336805
420.92,medium density,single_storey,1,No,walled,new,57.14285714,79967.52143,3,0.452058819,0.962001357,4.556227695,0.026641124
955.77,medium density,single_storey,1,No,walled,old,64.28571429,116341.4857,5,0.444634674,0.966600481,4.548384972,0.023671531
438.17,medium density,single_storey,1,No,walled,old,57.14285714,79768.20714,2,0.437186702,0.971888873,4.541261708,0.015766926
438.16,medium density,single_storey,1,No,walled,established,57.14285714,79000.35714,4,0.428766843,0.97870195,4.534900034,0.020447031
594.96,medium density,single_storey,1,No,walled,relatively new,64.28571429,87867.90714,3,0.416281468,0.990288465,4.533024325,0.035442209
650,medium density,single_storey,2,No,walled,relatively new,64.28571429,95637.77143,4,0.409881777,0.994896715,4.525520636,0.048032071
619.76,medium density,single_storey,1,No,walled,relatively new,57.14285714,89018.96429,6,0.401819874,0.980629329,4.521110779,0.061818673
438.18,medium density,single_storey,1,No,walled,relatively new,57.14285714,78627.86429,3,0.38923491,0.964804774,4.521124277,0.078082851
664.95,medium density,single_storey,2,No,walled,relatively new,64.28571429,96306.09286,2,0.490461452,0.92173719,4.526686592,0.026796448
445.44,medium density,single_storey,1,No,walled,relatively new,57.14285714,78864.74286,5,0.484581578,0.925142184,4.517694189,0.037300673
654.17,medium density,single_storey,1,No,walled,relatively new,57.14285714,90575.77143,2,0.475955607,0.932086275,4.511881855,0.022110922
